,NEAR_FUT_EXPIRY_DT
8,2026-02-24
2,2026-01-27
14,2025-12-30
3,2025-11-25
15,2025-10-28
10,2025-09-30
9,2025-08-28
16,2025-07-31
4,2025-06-26
17,2025-05-29
11,2025-04-24
18,2025-03-27
0,2025-02-27
13,2025-01-30
1,2024-12-26
6,2024-11-28
19,2024-10-31
12,2024-09-26
5,2024-08-29
7,
